id;reward_points;created_at;expired_at
1;31617;2020-12-19T01:15:56;2020-12-19T12:26:19
2;18644;2020-12-19T04:36:32;2020-12-19T04:00:26
3;39973;2020-12-18T22:57:24;2020-12-19T11:48:07
4;67529;2020-12-18T17:52:02;2020-12-18T19:53:30
5;28250;2020-12-18T18:46:35;2020-12-18T19:04:05
6;93963;2020-12-18T22:24:45;2020-12-18T22:05:27
7;372;2020-12-19T13:45:03;2020-12-19T11:33:50
8;71064;2020-12-18T23:46:14;2020-12-19T05:46:15
9;75801;2020-12-19T12:25:54;2020-12-19T09:58:06
10;48648;2020-12-19T00:58:02;2020-12-18T18:15:39
